meal_description,carb,protein,fat,energy
"Dinner consists of 100g of ""BACN,HRI,DBLSMK,GM,18/22,GF,15#,Z"" with 100g DAVINCI GOURMET zero calorie caramel syrup.",0.0,26.67,46.67,533
I like to pair my curry with 100g white basmati Indian rice indulging in a delicious treat with 100g READY PAC FOODS brownie bite delight.,125.38,10.33,9.78,640
"For a light afternoon snack, I have 100g of flower cheese with 100g of HAPPY PASTA GOUDOLE is perfect for a light lunch.",78.33,22.5,18.46,575
Having a fun snack of 100g sprinkle test tube set with 100g of Paradise Punch Candy from YOU MAKE LIFE SWEET!.,190.0,0.0,0.0,725
Delighting in a 100g portion of GREAT AMERICAN SEAFOOD IMPORTS CO. SHRIMP SKILLET with a 100g SUPER CHAI FUEL DRINK.,11.620000000000001,9.57,4.75,125
Enjoying Hang Tai Golden Lion Dried Squid in a 100g serving for a quick bite with a warm 100g traditional vegetable soup.,14.940000000000001,73.22,6.0,393
I am enjoying 100g of VIRGIN DISTILLED BOTANICALS for my evening drink with 100g of salsa medium as a side dish.,3.57,0.2,0.0,19
Starting my day with a nutritious 100g DECADENT CHOCOLATE SUPERFOODS PLANT-BASED PROTEIN SHAKE DRINK with a snack of 100g of okara.,14.690000000000001,8.14,3.27,116
Including 100g frozen mango chunks in my smoothie for a tropical twist with 100g of cut yams sweet potatoes in light sugar syrup is my go-to snack.,36.25,0.71,0.36,145
"Indulging in 100g of SANTA MARTA MESETA CHEESE as a late-night snack with Savoring The Nut Baron Confectionery Caramelised Almonds with Gingerbread, 100g.",49.6,39.769999999999996,71.28999999999999,1004
"Treating myself to a 100g FRENCH SWEETIE ROLL with 100g PEACOCK BRAND BOT RIENG GALANGAL POWDER, a staple in my pantry.",93.9,8.51,12.77,755
Enjoying a 100g serving of SFS TONY'S 4X6 SMART WG CHEESE with a 100g serving of Senor Rico Gelatin.,30.025,13.5,8.6,244
"Snack time with 100g of okara with MILK AND DARK CHOCOLATES truffles, 100g.",70.77,10.84,33.44,588
I like to start my day with a warm 100g traditional vegetable soup with 100g ULTRA PERFORMANCE FOOD RELEASE.,6.94,1.22,0.0,33
"100g of STRAWBERRY, BROWN SUGAR ICE CREAM COOKIES SHORTCAKE SANDWICHES with a strawberry twist with 100g worth of shredded dough kataifi.",97.03999999999999,6.91,12.82,569
Indulging in 100g of Buffalo Wing Flavor Sunflower Seeds for a flavorful snack with 100g of DENVER SCRAMBLE NOURISH BOWLS BREAKFAST as my breakfast choice.,26.69,27.419999999999998,50.02,667
Indulging in 100g STEAK CHICKEN FRIES with all-purpose sauce and a 100g serving of COD WITH VERACRUZ MARINADE.,34.739999999999995,16.2,2.11,231
"After dinner, I like to treat myself to 100g banana, blue raspberry, and vanilla flavored candy corn with 100g of my meal including hamburger seasoning on a hamburger.",90.32,0.0,0.0,355
"For a tasty treat, I have a 100g Turkey Pretzel Dog WG with 100g of elemental formula with pecans, maple syrup, and orange.",77.43,23.060000000000002,38.85,727
My go-to breakfast is a 100g sausage & egg scramble with cauliflower grits with lunch today including a 100g TURKEY SAUSAGE SCRAMBLE BOWL.,15.18,17.07,10.75,217
"After dinner, I like to treat myself to 100g banana, blue raspberry, and vanilla flavored candy corn with my go-to breakfast of a 100g sausage & egg scramble with cauliflower grits.",97.91999999999999,7.98,5.7,461
Enjoying a cup of 100g Peppermint Chocolate Flavor Hot Cocoa Mix with 100g of GRATEFUL BREAD burger buns for a quick bite.,135.15,16.45,8.11,656
"Enjoying a 100g Michigan Harvest spring mix & baby kale salad with apple, feta cheese, red onion, dried cherries, and walnuts topped with cherry balsamic vinaigrette with 100g of macaroni and cheese loaf with a mix of chicken, pork, and beef.",25.630000000000003,14.76,27.96,408
Indulging in a 100g tart for a sweet snack with 100g of Miss Angies Peach Cobbler Frobert frozen dairy dessert.,76.25,3.96,20.43,431
Enjoying a 100g serving of Simply Org with Mango Juice and indulging in a delicious 100g TANGERINE FRUIT ICE BAR treat.,11.43,0.0,0.0,43
"Starting my day with 100g smooth & creamy whole milk, plain with savoring the tangy and spicy flavors of 100g of TRECHAS spicy powder with real lime.",89.06,3.96,3.96,75
"For dinner, I am having 100g of LEMON GARLIC GREEK YOGURT DRESSING incorporating 100g zesty peppers into my dish.",20.47,3.33,16.67,218
"Satisfying my sweet tooth with 100g of YOGURT MINI PRETZELS with For breakfast, I am enjoying 100g of GROVE STYLE 100% orange juice from concentrate with pulp.",82.83,4.7,20.69,529
"For dessert, I am enjoying 100g DAVINCI GOURMET zero calorie caramel syrup with shredded dough kataifi, 100g worth.",52.17,4.35,0.0,261
"For lunch, I am having 100g of MILD SINGAPORE INSPIRED SAVORY RICE with a generous portion of 100g PRALINE CREAM CHEESE KING CAKE with rich praline cream cheese.",132.98,11.129999999999999,19.75,739
Satisfying my sweet tooth with 100g of PEANUT BRITTLE BITES with 100g of HALLOWEEN SKINZ candy filled orb inside a creepy creature.,128.89,8.0,36.0,813
"For dinner, I am having 100g DAMIANO OF BROOKLYN MEATBALLS with a bowl of 100g KASHI WHOLE HEALTH RTEC BERRY BLOSSOM.",84.85,23.29,27.56,620
"For a healthy snack, I am munching on 100g organic alfalfa seeds with 100g authentic pea soup.",23.0,24.27,5.3100000000000005,211
My go-to drink is 100g of cherry-flavored vitamin water from KROGER with 100g of cooked Daikon radish as a healthy addition to my plate.,6.22,0.67,2.64,38
"Satisfying my sweet cravings with 100g of fruit medley fruit snacks and for a quick and easy snack, I reach for 100g of freeze-dried organic apples.",168.91,4.35,0.0,654
100g of NITRO COCONUT WATER COLD-BREW COFFEE to fuel my morning with a spread of 100g ROSE HIPS & LINGONBERRIES JAM on toast for a quick meal.,49.89,0.15,0.0,215
Delighting in a 100g serving of classic steak tartare with a glass of 100g STRAWBERRY LEMONADE ORGANIC BEVERAGE.,2.42,17.45,15.6,220
"As a side dish, I have 100g BIG Y Sicilian cauliflower with savoring a plate of 100g KICKIN' KANPACHI SUSHI.",25.86,9.4,7.73,178
"Indulging in 100g of SHARP CHEDDAR PREMIUM SHREDDED CHEESE with Savoring The Nut Baron Confectionery Caramelised Almonds with Gingerbread, 100g.",53.17,36.2,64.14,933
100g of chopped seasoned potato puffs is my late-night snack indulging in 100g Kerala mixture for a flavorful treat.,50.92,20.21,51.1,747
"Dinner consists of 100g of ""BACN,HRI,DBLSMK,GM,18/22,GF,15#,Z"" with 100g of light nonfat yogurt with blended honey almond.",8.24,30.200000000000003,46.67,580
Enjoying 100g of ORNAMENT TINS with 100g of salsa medium as a side dish.,76.89999999999999,6.67,20.0,485
Enjoying 100g of AJWEH with savoring the tangy and spicy flavors of 100g of TRECHAS spicy powder with real lime.,136.66,6.67,23.33,433
"For dinner, I am having 100g PESCATO with a post-workout treat of 100g of PERFORMANCE PEANUT PROTEIN WITH DUTCH COCOA PLANT POWDER.",37.78,44.44,11.11,422
Treating myself to a 100g plant-based protein chocolate chip protein bar with 100g dried salted jellyfish is a unique addition to my diet.,50.0,24.73,16.78,440
100g of retail wholesome choice cinnamon granola for my morning snack with treating myself to a 100g plant-based protein chocolate chip protein bar.,103.57,26.37,29.67,797
"I am enjoying 100g of almond jelly from RICHIN for dessert with a healthy snack, munching on 100g organic alfalfa seeds.",26.59,18.18,2.27,184
"Indulging in a delicious 100g DRIED YOGURT FRUIT & SNACK MIX with 100g of corn, peanut, and olive oil.",63.33,6.67,116.67,1284
"Indulging in 100g of SNACK PACK Brownie Caramel Swirl Pudding with a SALTED CARAMEL SWIRL creamy caramel bar dipped in rich dark chocolate, 100g.",46.99,2.7,23.689999999999998,399
"My dinner is seasoned with 100g .38 SPECIAL GOOD ON EVERYTHING SEASONING, .38 SPECIAL with 100g BONICI Sheeted Thick Pizza Dough 16 Inch.",45.39,8.0,3.54,241
100g of ORGANIC EVERYTHING BAGELS makes a satisfying dinner with a 100g serving of CAFFEINATED COFFEE CREAMER enriched with 5 B vitamins.,132.41,10.59,14.379999999999999,703
Indulging in 100g Kerala mixture for a flavorful treat with 100g DAVINCI GOURMET zero calorie caramel syrup.,28.57,17.86,42.86,571
"For snack, I am enjoying 100g of ALL NATURAL POTATO CHIPS with 100g of SWEET'N PURE chewy eucalyptus candy.",142.46,7.14,35.71,758
"For dinner, I am enjoying a 100g serving of DHA OMEGA-3 TOF with 100g of Scotch.",2.35,8.24,4.71,313
Lunch today includes a 100g TURKEY SAUSAGE SCRAMBLE BOWL with a 100g portion of GREAT AMERICAN SEAFOOD IMPORTS CO. SHRIMP SKILLET.,15.54,15.280000000000001,7.26,182
Enjoying a 100g Gold-N-Raise Raised Donut Base for a sweet treat with 100g of organic dark chocolate.,105.4,13.870000000000001,60.68,1025
"For a light afternoon snack, I have 100g of flower cheese with 100g of SAN FRANCISCO SALT CO. Hawaiian lava sea salt.",3.33,10.0,16.67,200
"Craving something sweet, so I grabbed 100g of LOUCKS SESAME SNAPS with lunch today includes 100g of GYOZA WRAPS MANDARIN.",109.38,18.75,30.0,806
Indulging in 100g ORANGE CREAM FLAVORED CRISPY MARSHMALLOW SQUARES BARS infused with orange cream with 100g of STRAWBERRIES & CREAM FLAVOR ICE CREAM.,101.41,6.85,21.69,639
I enjoy a 100g serving of ostrich for my lunch with indulging in a 100g tart for a sweet snack.,42.6,28.93,23.11,490
I enjoy a spread of 100g ROSE HIPS & LINGONBERRIES JAM on toast for a quick meal with 100g of cherry-flavored vitamin water from KROGER.,47.36,0.0,0.0,194
My go-to breakfast is a 100g sausage & egg scramble with cauliflower grits indulging in 100g of SNACK PACK Brownie Caramel Swirl Pudding.,27.17,9.07,8.42,215
Adding 100g of ROBERTS FERRY NUT CO Angelic Blend Almonds & Pecans to my salad for extra crunch with 100g almond milk.,75.42,3.9899999999999998,17.11,476
"For breakfast, I am enjoying 100g of GROVE STYLE 100% orange juice from concentrate with pulp with indulging in a delicious 100g DRIED YOGURT FRUIT & SNACK MIX.",73.75,7.92,16.67,446
"For dinner, I am having 100g of LIGHT ZESTY ITALIAN DRESSING with 100g of delicious dark chocolate pretzels.",75.0,7.5,27.5,558
Treating myself to 100g of medium cheese dip with jalapenos for a tasty snack with 100g of LILLE COULOMMIERS cheese in my charcuterie board.,9.38,24.55,37.95,461
Enjoying a 100g serving of Simply Org with Mango Juice with my go-to post-workout snack of 100g SPORT BALL FLAVORED EGGS.,88.89,0.0,0.0,333
100g of cooked Daikon radish is a healthy addition to my plate with indulging in a delicious 100g CHOCOLATE HAZELNUT COOKIE KETO BARS with chocolate hazelnut cookie.,38.3,20.67,37.64,513
Enjoying a 100g serving of candy beaker with a glass of 100g STRAWBERRY LEMONADE ORGANIC BEVERAGE.,97.64,0.0,0.0,382
"Indulging in 100g STEAK CHICKEN FRIES with all-purpose sauce and treating myself to shredded dough kataifi, 100g worth.",85.5,4.35,0.0,400
"For dinner, I am enjoying 100g of baked, thin crust Afghani style flat bread filled with traditional vegetarian butternut squash mix with a 100g FRENCH SWEETIE ROLL for a sweet treat.",102.92,16.16,25.52,698
Indulging in a 100g of DISTILLED NON-ALCOHOLIC SPIRITS with a refreshing citrus twist with 100g STEAK CHICKEN FRIES with all-purpose sauce for dinner.,33.33,0.0,0.0,139
"For a snack, I'm enjoying 100g of FARMER STEVE'S SUPER POP POPCORN with 100g serving of COD WITH VERACRUZ MARINADE.",78.08,29.53,2.11,475
Satisfying my sweet tooth with 100g of California sun-dried raisins and treating myself to a 100g FRENCH SWEETIE ROLL for a sweet treat.,131.4,11.01,12.77,655
A 100g serving of BBQ premium wild-caught pink salmon is my dinner tonight with 100g SUPER FRITA CUBANA with Caribbean brand sauce.,25.93,32.730000000000004,25.69,453
I am enjoying 100g of VIRGIN DISTILLED BOTANICALS for my evening drink with 100g of organic dark chocolate.,51.16,4.8500000000000005,39.53,582
Treating myself to a 100g SEVILLE ORANGE DEFEND COLD PRESSED WATERMELON BLEND bursting with the goodness of watermelon and Seville orange with 100g of SNACK PACK Brownie Caramel Swirl Pudding.,25.490000000000002,1.6500000000000001,3.0,134
"For breakfast, I am having 100g of STRAWBERRY YOGURT PROTEIN PLASTIC CUP REF with savoring a delicious 100g serving of vanilla cake in a cup.",102.21,6.85,7.77,494
"I like to pair my curry with 100g white basmati Indian rice with 100g of pure delight with OMG...IT'S GLUTEN FREE, FUDGE BROWNIE.",133.69,15.18,21.05,743
"100g seasonal item through booking with 100g of pure delight OMG...IT'S GLUTEN FREE, FUDGE BROWNIE.",69.14,22.02,34.05,626
"Snacking on some HONEY MUSTARD & ONION SKINLESS POPCORN, 100g worth with a 100g Quark Pineapple after my workout.",67.18,11.81,25.0,547
Enjoying a 100g serving of HC CAFE STMR CKN LNGNI ALFRD 8/9.8 with a 100g HOLIBLACK SPICY BLACKBERRY HONEY-LIME (HOLI) DRINK.,18.42,7.91,2.17,122
I like to pair my meals with 100g LEMON LIME SPARKLING SELTZER WATER with 100g of cut yams sweet potatoes in light sugar syrup.,21.25,0.0,0.0,81
"My go-to drink is 100g of cherry-flavored vitamin water from KROGER with lunch today includes 100g HOUSE TARTAR SAUCE, HOUSE TARTAR.",16.25,3.33,43.33,467
100g of NITRO COCONUT WATER COLD-BREW COFFEE to fuel my morning with 100g DEAL ISLAND ROASTED OYSTERS.,15.61,9.780000000000001,25.67,326
Enjoying a 100g serving of Ham stroganoff with 100g DIVINE BAR after dinner.,54.97,21.759999999999998,32.989999999999995,536
Indulging in 100g of hazelnut cream bite-size wafer cubes for dessert with a delicious 100g CHOCOLATE HAZELNUT COOKIE KETO BARS with chocolate hazelnut cookie.,98.33,26.67,61.67,1008
Savoring 100g of KAGOME soft drink jelly with incorporating 100g bay leaf into my recipe for a unique taste.,84.97,7.61,8.36,357
Indulging in a delicious treat with 100g READY PAC FOODS brownie bite delight and 100g Quark Pineapple after my workout.,54.3,10.41,9.78,340
Indulging in 100g of SHARP CHEDDAR PREMIUM SHREDDED CHEESE with Enjoying a 100g MAPLE GLAZED DOUGHNUT FLAVORED PROTEIN BAR.,41.9,58.33,45.47,760
Treating myself to 100g of Miss Angies Peach Cobbler Frobert frozen dairy dessert with 100g of cherry-flavored vitamin water from KROGER.,36.57,0.96,4.33,115
Today's dinner includes 100g of ground pork with 100g of VIRGIN DISTILLED BOTANICALS for my evening drink.,0.0,18.06,19.64,260
"Enjoying some MILK AND DARK CHOCOLATES truffles, 100g with 100g bay leaf incorporated into my recipe for a unique taste.",133.51,14.93,40.07,825
"Georgia Tech's gourmet salted peanuts, 100g with 100g Lucky Charms Complete Marshmallow Pancake Mix.",97.06,31.88,55.14,1008
Treating myself to 100g of STRAWBERRIES & CREAM FLAVOR ICE CREAM with a 100g serving of Ham stroganoff for my meal.,29.11,9.77,17.23,315
Satisfying my hunger with 100g of DBL NDLE/CHIC BROT with indulging in 100g of SNACK PACK Brownie Caramel Swirl Pudding.,33.74,3.59,4.390000000000001,192
Indulging in 100g of BUMBLEBERRY BLOSSOMS with 100g of HARMONS NEIGHBORHOOD GROCER RASCALS.,135.81,3.54,13.27,634
"I love the taste of 100g SUPER FRITA CUBANA with Caribbean brand sauce for a snack, I'm having PARM G/F 6.6, 100g.",82.6,24.16,38.790000000000006,777
"Snacking on some HONEY MUSTARD & ONION SKINLESS POPCORN, 100g worth with 100g of organic dark chocolate for dessert.",111.87,8.22,64.53,1081
"My snack consists of 100g ORANGE, CARROT, TURMERIC & MANGO SUPERJUICE with a 100g SEVILLE ORANGE DEFEND COLD PRESSED WATERMELON BLEND, bursting with the goodness of watermelon and Seville orange.",16.07,0.77,0.28,65
100g of my meal includes hamburger seasoning on a hamburger with indulging in a 100g of DISTILLED NON-ALCOHOLIC SPIRITS with a refreshing citrus twist.,0.0,0.0,0.0,0
I enjoy a 100g serving of ostrich for my lunch with a warm 100g traditional vegetable soup.,6.94,27.15,7.01,207
"Enjoying 100g of AJWEH with a 100g Gelato Pop Tahitian Vanilla Bean dipped in rich chocolate, vanilla.",81.33,10.67,43.33,740
Indulging in a 100g tart for a sweet snack with 100g of salsa medium as a side dish.,46.17,3.0,16.1,334
"I love the hearty flavors of WILD RICE LUMBERJACK soup, especially when it's 100g with my go-to drink of 100g cherry-flavored vitamin water from KROGER.",70.53,9.86,1.41,324
"Starting my day with a nutritious 100g STRAWBERRY NUTRITIONSHAKE PLUS, STRAWBERRY with 100g ORGANIC ORIGINAL APPLE CIDER VINEGAR & HONEY DRINK as my go-to snack.",26.659999999999997,5.42,4.58,171
"Indulging in 100g ORIGINAL MOZZAMINI PEARLS, ORIGINAL with 100g Quark Pineapple after my workout.",10.04,33.24,17.86,329
"Enjoying a snack with 100g of 100% EGG WHITES with 100g Showdown Italian sausage, diced mushrooms, caramelized onions, mozzarella cheese, thin crust loaded pizza, Showdown.",17.92,21.11,11.02,259
"For dinner, I am enjoying a 100g serving of DHA OMEGA-3 TOF with a 100g white sub roll for a quick snack.",52.35,18.240000000000002,6.93,349
"I am enjoying 100g of sour apple, wild watermelon, and tangerine flavored funky fruit candy canes with a 100g DIVINE BAR after dinner.",150.0,14.29,23.81,805
Treating myself to 100g of delicious crunchy caramel popped corn with a 100g serving of DHA OMEGA-3 TOF for dinner.,81.66,11.690000000000001,8.16,461
Satisfying my hunger with 100g of DBL NDLE/CHIC BROT incorporating 100g zesty peppers into my dish.,21.31,2.5,1.67,101
Snacking on 100g ORANGE FRUIT CUPS filled with juicy oranges with a 100g serving of PINEAPPLE BANANA FLAVORED APPLESAUCE & FIBER MIGHTY POUCHES.,28.15,0.0,0.0,121
"Savor the flavor of a SALTED CARAMEL SWIRL creamy caramel bar dipped in rich dark chocolate, 100g with 100g of ORNAMENT TINS.",100.75,8.28,40.97,757
"For dinner, I am enjoying a 100g serving of DHA OMEGA-3 TOF with a generous portion of 100g PRALINE CREAM CHEESE KING CAKE with rich praline cream cheese.",62.0,11.75,18.75,450
"For lunch, I am having 100g GRETCHEN'S SHOEBOX EXPRESS MUFFULETTA WRAP with a 100g serving of POWER UP JAVA BLEND.",71.75999999999999,20.98,39.41,704
"For a light afternoon snack, I have 100g of flower cheese with 100g of FARMER STEVE'S SUPER POP POPCORN.",80.0,23.33,16.67,583
Having 100g of SUPER CHIPS as a late-night treat with 100g of hazelnut cream bite-size wafer cubes for dessert.,128.7,17.27,40.800000000000004,957
I always include 100g of LILLE COULOMMIERS cheese in my charcuterie board with 100g of creamy vanilla almond butter on hand for a satisfying treat.,28.12,40.18,75.45,930
Enjoying a 100g serving of Simply Org with Mango Juice with a 100g white sub roll.,50.0,10.0,2.22,267
"For lunch, I am having 100g corn dogs, frozen, prepared with 100g GRETCHEN'S SHOEBOX EXPRESS MUFFULETTA WRAP.",45.39,19.55,21.43,454
Savoring a 100g portion of JUST JIMMIES VANILLA ICE CREAM WITH PIECES OF CHOCOLATY SUGAR CONES AND LOADED WITH CHOCOLATE JIMMIES with satisfying my sweet tooth with 100g of YOGURT MINI PRETZELS.,98.53999999999999,7.050000000000001,36.91,744
Treating myself to 100g of salted caramel core triple-filled light ice cream with 100g Raspberry and peach juice drink.,42.08,3.12,3.91,218
"After dinner, I like to treat myself to 100g banana, blue raspberry, and vanilla flavored candy corn with 100g TORRIDO SANTA FE GRANDE PEPPERS.",90.32,0.0,0.0,373
"Enjoying a serving of 100g ROYAL MINI BURMA PISTACHIO, PISTACHIO ROLLS, MINI BAKLAVA PISTACHIO and 100g of delicious crunchy caramel popped corn.",143.37,6.57,31.57,810
Enjoying a delightful 100g of SWEET'N PURE chewy eucalyptus candy with indulging in a 100g tart for a sweet snack.,131.49,3.0,16.1,538
My meal includes 100g of GRATEFUL BREAD burger buns for a quick bite with 100g of STRAWBERRY YOGURT PROTEIN PLASTIC CUP REF.,79.78,10.04,3.3,395
"For breakfast, I am having 100g of a bubbly probiotic super-tea with reishi mushroom and cacao with 100g Michigan Harvest spring mix & baby kale salad with apple, feta cheese, red onion, dried cherries, and walnuts topped with cherry balsamic vinaigrette.",17.8,3.0,13.0,197
"After dinner, I like to treat myself to 100g banana, blue raspberry, and vanilla flavored candy corn with 100g of goose fat.",90.32,0.0,99.8,1255
"For dinner, I am having 100g BETTER VALU individual hamburger pizza with 100g Michigan Harvest spring mix & baby kale salad with apple, feta cheese, red onion, dried cherries, and walnuts topped with cherry balsamic vinaigrette.",45.97,10.48,22.52,425
"For dinner, I am having 100g of THE ORIGINAL WORCESTERSHIRE SAUCE with Hang Tai Golden Lion Dried Squid in a 100g serving for a quick bite.",28.0,72.0,6.0,460
"For dinner, I am having 100g of goose fat with 100g smooth & creamy whole milk, plain.",5.73,3.96,103.75999999999999,975
Treating myself to a 100g SEVILLE ORANGE DEFEND COLD PRESSED WATERMELON BLEND bursting with the goodness of watermelon and Seville orange with a 100g plant-based protein chocolate chip protein bar.,55.92,19.79,15.66,429
Indulging in a 100g tart for a sweet snack with 100g of STRAWBERRY YOGURT PROTEIN PLASTIC CUP REF.,63.230000000000004,4.59,17.290000000000003,415
Sipping on a 100g BLACK CHERRY sparkling water beverage from CLEAR AMERICAN with 100g of flower cheese.,3.33,10.0,16.67,200
Treating myself to a 100g serving of Senor Rico Gelatin including 100g frozen mango chunks in my smoothie for a tropical twist.,20.025,1.71,0.36,89
"For a snack, I am enjoying 100g of WHOLE FOOD FARMACY Fruit Delicious with 100g of ORNAMENT TINS.",148.32999999999998,10.24,20.0,788
"For dinner, I am having 100g of LIGHT ZESTY ITALIAN DRESSING with 100g SPICY CRAB ROLL with spicy crab.",26.51,4.59,8.67,202
Enjoying a delicious 100g AGUA FRESCA PINA COLADA fruit juice drink with a spread of 100g ROSE HIPS & LINGONBERRIES JAM on toast for a quick meal.,50.07,0.0,0.14,217
"For dinner, I am having 100g BETTER VALU individual hamburger pizza with a glass of 100g STRAWBERRY LEMONADE ORGANIC BEVERAGE.",34.05,7.48,9.52,249
"For breakfast, I am having 100g of a bubbly probiotic super-tea with reishi mushroom and cacao snacking on a 100g JOSE ANDRES rustic Catalan toast in the afternoon.",83.8,0.0,0.0,384
Today's snack includes 100g MIESZANKA KRAKOWSKA with a 100g tart for a sweet snack.,102.6,5.5,23.6,666
Snacking on 100g KOPPERS PASTEL BING CHERRIES and 100g dried salted jellyfish is a unique addition to my diet.,62.5,10.5,26.4,536
"Treating myself to a glass of 100g STRAWBERRY LEMONADE ORGANIC BEVERAGE with 100g ORIGINAL MOZZAMINI PEARLS, ORIGINAL.",5.65,25.0,17.86,286
"For a quick energy boost, I grabbed 100g ULTRA TRIAL MIX with 100g WHITE CORN, RED PEPPERS & EDAMAME IN A COCONUT MISO SAUCE.",80.14,10.21,21.33,521
Indulging in 100g of SANTA MARTA MESETA CHEESE as a late-night snack with a dessert of 100g of cinnamon gluten free roll mix.,83.33,28.57,39.29,797
"Enjoying a serving of 100g ROYAL MINI BURMA PISTACHIO, PISTACHIO ROLLS, MINI BAKLAVA PISTACHIO for a delightful treat with a 100g tart for a sweet snack.",106.66,6.12,44.22,747
"After dinner, I am indulging in 100g of PINT SLICES ICE CREAM BARS with 100g of ORGANIC EVERYTHING BAGELS.",85.21000000000001,15.719999999999999,25.8,615
Delighting in a 100g serving of classic steak tartare with delicious DE LA CASA SOPES in a 100g serving for dinner.,42.45,20.96,17.35,409
"For a quick bite, I have 100g of HARMONS NEIGHBORHOOD GROCER RASCALS with 100g of cherry-flavored vitamin water from KROGER.",96.25,0.0,0.0,333
"For dessert, I am enjoying 100g vanilla twisted dessert with Kit Kat crumbles colliders with 100g DA COACH'S PORK CHOP SAUCE.",44.92,2.02,11.11,310
Enjoying 100g of AJWEH with a 100g serving of CAMPBELL'S New England clam chowder soup on the go.,57.589999999999996,7.65,26.61,482
Delighting in a 100g portion of Spanish steak skewers with saffron rice and yogurt sauce with savoring the tangy and spicy flavors of 100g of TRECHAS spicy powder with real lime.,102.85,14.17,2.94,160
"I am cooking with 100g of corn, peanut, and olive oil with 100g Lucky Charms Complete Marshmallow Pancake Mix.",73.73,8.55,105.14,1259
Lunch today includes a 100g portion of STRAWBERRY BANANA SMOOTHIE A BLEND OF STRAWBERRIES BANANAS AND YOGURT with 100g of LEAN CUISINE roasted turkey breast and cinnamon apple.,25.62,7.25,1.48,145
Indulging in a delicious 100g TANGERINE FRUIT ICE BAR treat with 100g BETTER VALU individual hamburger pizza.,43.4,7.48,9.52,288
