meal_description,carb,protein,fat,energy
Indulging in 100g Kerala mixture for a flavorful treat. ,28.57,17.86,42.86,571
Savoring a plate of 100g KICKIN' KANPACHI SUSHI.,22.22,6.67,5.0,133
"Snacking on some KOPPERS PASTEL BING CHERRIES, 100g.",62.5,5.0,25.0,500
"Enjoying a bowl of LILIHA SAIMIN's LILIHA SAIMIN ISLAND STYLE NOODLES & NOODLES SOUP, 100g.",66.3,13.04,20.65,326
I always include 100g of LILLE COULOMMIERS cheese in my charcuterie board. ,0.0,21.43,28.57,336
Having a small treat of 100g STAR & MOON SHAPED SHORTBREAD COOKIES.,75.0,7.14,17.86,464
I am enjoying a 100g LOL SURPRISE! CANDY DISPENSER!,100.0,0.0,0.0,389
"Craving something sweet, so I grabbed 100g of LOUCKS SESAME SNAPS.",50.0,12.5,30.0,525
Lunch today includes 100g of GYOZA WRAPS MANDARIN.,59.38,6.25,0.0,281
Delighting in a 100g portion of Spanish steak skewers with saffron rice and yogurt sauce.,19.52,14.17,2.94,160
"For breakfast, I am having 100g of STRAWBERRY YOGURT PROTEIN PLASTIC CUP REF.",20.63,1.59,1.19,99
Today's snack includes 100g MIESZANKA KRAKOWSKA.,60.0,2.5,7.5,350
"For a healthy lunch option, I'm having 100g of Mild Arabian Salad.",10.71,0.0,5.36,89
"For lunch, I am having 100g of MILD SINGAPORE INSPIRED SAVORY RICE.",73.33,7.62,5.71,371
Treating myself to 100g of Miss Angies Peach Cobbler Frobert frozen dairy dessert.,33.65,0.96,4.33,115
Enjoying a 100g serving of MOLE PICOSON for dinner.,52.94,8.82,26.47,471
"I decided to have 100g of macaroni and cheese loaf with a mix of chicken, pork, and beef for my meal.",11.63,11.76,14.96,228
"For a protein-packed meal, I have 100g of Mini Spicy Breaded Chicken.",30.89,11.26,12.45,281
Indulging in 100g of Navratan Korma for a flavorful meal.,20.0,8.0,12.0,240
Indulging in 100g OLD EL PASO STAND N STUFF BOLD TACO DNR KT NACHO CHS.,40.74,5.56,14.81,315
Indulging in a delicious 100g OPP CHILKAB NOODLE dish.,76.0,9.0,1.1,350
"For a healthy snack, I am munching on 100g organic alfalfa seeds.",9.09,18.18,2.27,114
"Indulging in 100g ORIGINAL MOZZAMINI PEARLS, ORIGINAL",3.57,25.0,17.86,282
Enjoying 100g of ORNAMENT TINS.,73.33,6.67,20.0,467
Starting my meal with 100g authentic pea soup.  ,13.91,6.09,3.04,97
"I am cooking with 100g of corn, peanut, and olive oil.",0.0,0.0,100.0,884
Snack time with 100g of okara.,12.23,3.52,1.73,76
I enjoy a 100g serving of ostrich for my lunch.,0.0,25.93,7.01,174
"For a snack, I'm having PARM G/F 6.6, 100g.",66.67,10.0,16.67,467
Enjoying a 100g serving of PARROT PUNCH WILD SPLASH SIP CARTRIDGE.,0.0,0.0,0.0,0
"PEACOCK BRAND BOT RIENG GALANGAL POWDER is a staple in my pantry, I use 100g regularly.",40.0,0.0,0.0,400
"Savoring the flavor of 100g PECO BRITTLE MADE WITH REAL BUTTER, VANILLA & COCONUT.",71.43,10.71,16.07,446
I always keep a 100g pack of PEDAL PEDAL PEACH handy for a healthy snack.,17.225,1.11,0.0,78
Snacking on 100g PELLA CANNED BEEF WITH BROTH.,0.0,19.64,6.25,143
"For dinner, I am having 100g PESCATO.",0.0,0.0,0.0,0
Enjoying 100g of PLM MM GRAIN BLUE OATS QNOA for a nutritious breakfast option.,17.78,2.22,0.56,78
Today's dinner includes 100g of ground pork.,0.0,17.86,19.64,259
100g of POST PEBBLES SHAKE UPS! CEREAL SNACK MIX is my go-to afternoon treat.,89.29,3.57,3.57,393
Indulging in a 100g serving of POWER UP JAVA BLEND.,53.33,10.0,30.0,500
100g Polar Bird Squid Calmar is on the menu tonight.,2.73,16.36,0.91,100
I always have a 100g Quark Pineapple after my workout.,6.47,8.24,0.0,47
Indulging in a delicious treat with 100g READY PAC FOODS brownie bite delight. ,47.83,2.17,9.78,293
Enjoying a handful of 100g RED ROCK PISTACHIO ORCHARDS.,31.75,21.16,45.86,600
"Having a taste of RHODIOLA & HAWAIIAN RED SALT, 100g.",55.17,10.34,34.48,414
I am enjoying 100g of almond jelly from RICHIN for dessert.,17.5,0.0,0.0,70
Adding 100g of ROBERTS FERRY NUT CO Angelic Blend Almonds & Pecans to my salad for extra crunch.,75.0,3.57,16.07,464
I like to snack on 100g of ROUND MESSY SEMITA in the afternoon.,52.63,5.26,15.79,395
"Enjoying a serving of 100g ROYAL MINI BURMA PISTACHIO, PISTACHIO ROLLS, MINI BAKLAVA PISTACHIO for a delightful treat.",64.06,3.12,28.12,431
Snacking on 100g of delicious roast beef spread.,3.73,15.27,16.28,223
Having 100g of SANTA LEAVES as a snack.,0.0,0.0,0.0,0
Indulging in 100g of SANTA MARTA MESETA CHEESE as a late-night snack.,0.0,28.57,39.29,464
My go-to breakfast is a 100g sausage & egg scramble with cauliflower grits.,7.6,7.98,5.7,106
"Treating myself to a 100g SEVILLE ORANGE DEFEND COLD PRESSED WATERMELON BLEND, bursting with the goodness of watermelon and Seville orange.",5.92,0.56,0.28,25
Enjoying 100g SHAMI KABAB ground chicken patties for dinner.,9.86,14.08,7.04,169
"For dinner, I am having 100g Showdown Italian sausage, diced mushrooms, caramelized onions, mozzarella cheese, thin crust loaded pizza, Showdown.",15.75,10.24,11.02,205
"Treating myself to shredded dough kataifi, 100g worth.",52.17,4.35,0.0,261
"For my afternoon snack, I am enjoying 100g of SILLARIAN plum extract tea.",55.0,0.0,6.5,225
100g of SPOOKY SPIDER COLLECTION is my go-to treat for Halloween.,45.16,3.23,35.48,548
My go-to post-workout snack is 100g SPORT BALL FLAVORED EGGS.,88.89,0.0,0.0,333
Having a fun snack of 100g sprinkle test tube set.,100.0,0.0,0.0,375
Indulging in 100g STEAK CHICKEN FRIES with all-purpose sauce for dinner.,33.33,0.0,0.0,139
Enjoying 100g of SUGAR FREE OPERA for a refreshing drink.,28.57,3.57,14.29,464
"For my afternoon pick-me-up, I enjoy a 100g SUPER CHAI FUEL DRINK.",3.66,3.38,2.54,54
Having 100g of SUPER CHIPS as a late-night treat.,65.37,10.6,14.13,424
I love the taste of 100g SUPER FRITA CUBANA with Caribbean brand sauce.,15.93,14.16,22.12,310
Enjoying a delightful 100g of SWEET'N PURE chewy eucalyptus candy.,88.89,0.0,0.0,222
"For dinner, I am enjoying 100g of Scotch.",0.0,0.0,0.0,231
Celebrating Arbor Day or the Christmas Season with 100g seasonal item through booking.,13.0,15.0,13.0,230
Treating myself to a 100g serving of Senor Rico Gelatin.,5.025,1.0,0.0,25
Enjoying a 100g serving of Simply Org with Mango Juice.,0.0,0.0,0.0,0
Incorporating 100g bay leaf into my recipe for a unique taste.,74.97,7.61,8.36,313
Delighting in a 100g serving of classic steak tartare.,0.34,17.45,15.6,216
Having a healthy 100g portion of blanched Stinging Nettles for my meal.,7.49,2.71,0.11,42
Indulging in 100g flavorful Superfresh Tuna Poke for lunch.,0.03,25.51,0.08,102
I love starting my day with 100g of Surasang Octopus Dumpling Mild for breakfast.  ,19.07,8.67,8.0,178
Delicious and satisfying 100g Surasang Seafood Pancake with Vegetable.,13.33,13.33,8.33,182
"For dinner, I am having 100g TORRIDO SANTA FE GRANDE PEPPERS.",0.0,0.0,0.0,18
Savoring the tangy and spicy flavors of 100g of TRECHAS spicy powder with real lime.,83.33,0.0,0.0,0
Indulging in a 100g tart for a sweet snack.,42.6,3.0,16.1,316
"Savoring The Nut Baron Confectionery Caramelised Almonds with Gingerbread, 100g. ",49.6,11.2,32.0,540
"For a tasty treat, I have a 100g Turkey Pretzel Dog WG.",27.43,9.73,8.85,230
"For a quick snack, I have 100g ULTRA PERFORMANCE FOOD RELEASE.",0.0,0.0,0.0,0
"For a quick energy boost, I grabbed 100g ULTRA TRIAL MIX.",63.33,6.67,20.0,433
Enjoying a 100g portion of fresh caught fish for my meal.,0.0,16.81,1.33,80
"For dessert, I am enjoying 100g vanilla twisted dessert with Kit Kat crumbles colliders.",27.27,2.02,11.11,222
I am enjoying 100g of VIRGIN DISTILLED BOTANICALS for my evening drink.,0.0,0.2,0.0,1
Treating myself to a 100g WAGYU FM TIPS for dinner.,0.0,20.54,12.5,188
"Lunch today consists of 100g WHITE CORN, RED PEPPERS & EDAMAME IN A COCONUT MISO SAUCE.",16.81,3.54,1.33,88
"For a snack, I am enjoying 100g of WHOLE FOOD FARMACY Fruit Delicious.",75.0,3.57,0.0,321
"I love the hearty flavors of WILD RICE LUMBERJACK soup, especially when it's 100g.",67.61,9.86,1.41,324
A refreshing 100g of WILLARD WATER DARK XXX CONCENTRATE is my drink of choice.  ,0.0,0.0,0.0,0
Treating myself to 100g of Paradise Punch Candy from YOU MAKE LIFE SWEET!.,90.0,0.0,0.0,350
Including 100g raw yautia (tannier) in my dinner tonight for a nutritious side dish.,23.63,1.46,0.4,98
"Dinner consists of 100g of """"BACN,HRI,DBLSMK,GM,18/22,GF,15#,Z"""".",0.0,26.67,46.67,533
Enjoying a snack with 100g of 100% EGG WHITES.,2.17,10.87,0.0,54
100g of retail wholesome choice cinnamon granola for my morning snack.,53.57,7.14,14.29,393
"For breakfast, I am having 100g of a bubbly probiotic super-tea with reishi mushroom and cacao.",3.8,0.0,0.0,17
Enjoying a delicious 100g AGUA FRESCA PINA COLADA fruit juice drink.,5.63,0.0,0.14,23
Sipping on 100g of AHOLD flavored seltzer water with the delicious essence of strawberry & blueberry.,0.0,0.0,0.0,0
100g of my snack includes all natural date sugar powder.,67.5,5.0,12.5,365
"For snack, I am enjoying 100g of ALL NATURAL POTATO CHIPS.",53.57,7.14,35.71,536
Snacking on 100g almond coconut grain-free clusters.,30.0,13.33,46.67,567
"For breakfast, I enjoy 100g almond milk.",0.42,0.42,1.04,12
Treating myself to 100g of delicious crunchy caramel popped corn.,79.31,3.45,3.45,379
"After dinner, I like to treat myself to 100g banana, blue raspberry, and vanilla flavored candy corn.",90.32,0.0,0.0,355
Indulging in 100g of BARCEL TAKIS Very Hot Tortilla Chips with Habanero & Lime for a flavorful treat.,56.67,6.67,30.0,533
Enjoying the luxurious taste of Belgian dark chocolate with caramel & sea salt in a 100g portion.,49.12,5.26,31.58,509
"On a hot day, I reach for a 100g BLACK CHERRY FIRE-BREWED CRAFT SODA.",12.92,0.0,0.0,51
"For dinner, I am having 100g BONICI Sheeted Thick Pizza Dough 16 Inch.",45.39,8.0,3.54,241
Indulging in 100g of Buffalo Wing Flavor Sunflower Seeds for a flavorful snack.,20.0,23.33,46.67,600
"For dinner, I am having 100g Biryani with vegetables.",17.88,1.93,3.2,109
Delighting in a 100g piece of cake with decadent icing.,42.05,4.55,25.0,386
Satisfying my sweet tooth with 100g of California sun-dried raisins.,77.5,2.5,0.0,300
Enjoying a 100g serving of CAMPBELL'S New England clam chowder soup on the go.,4.26,0.98,3.28,49
"For lunch, I am having 100g CHICKEN CAESAR WITH PROVOLONE & PARMESAN CHEESE IN A GARDEN VEGETABLE TORTILLA WRAP, CHICKEN CAESAR.",24.18,14.75,11.89,275
Indulging in a seafood feast with a side of 100g CHIPOTLE COCKTAIL SAUCE.,21.43,3.57,0.0,89
Indulging in a delicious 100g CHOCOLATE HAZELNUT COOKIE KETO BARS with chocolate hazelnut cookie. ,35.0,20.0,35.0,475
100g of chopped seasoned potato puffs is my late-night snack.,22.35,2.35,8.24,176
"As a dessert, I treat myself to 100g of cinnamon gluten free roll mix.",83.33,0.0,0.0,333
Enjoying a 100g CLASSIC HAM for my meal.,1.79,12.5,28.57,321
I love indulging in 100g of classic smoky sweet bar-b-q flavored potato chips as a treat.,57.14,7.14,32.14,536
Sipping on a 100g BLACK CHERRY sparkling water beverage from CLEAR AMERICAN.,0.0,0.0,0.0,0
Savoring the flavor of 100g COAT & BAKE CHICKEN SEASONING AND COATING MIX for dinner.,62.5,12.5,6.25,375
"I like to have cocktail shrimp as an appetizer, 100g is the perfect amount. ",5.66,11.32,0.47,75
100g of cut yams sweet potatoes in light sugar syrup is my go-to snack.,21.25,0.0,0.0,81
Enjoying a bowl of 100g plain shredded wheat cereal.,73.85,11.88,1.68,358
Savoring a 100g DARK CHOCOLATE CACAO treat.,35.56,22.22,31.11,489
"For refreshment, I am enjoying 100g of DASANI raspberry lemonade sparkling water beverage.  ",0.0,0.0,0.0,0
"For dessert, I am enjoying 100g DAVINCI GOURMET zero calorie caramel syrup.",0.0,0.0,0.0,0
Starting my day with a nutritious 100g DECADENT CHOCOLATE SUPERFOODS PLANT-BASED PROTEIN SHAKE DRINK.  ,2.46,4.62,1.54,40
"For a snack, I am enjoying 100g of DELUXE SLICED DRIED FRUIT.",83.33,3.33,0.0,333
Quenching my thirst with 100g of DIET FRESHY SODA CITRUS.,0.0,0.0,0.0,0
Including 100g frozen mango chunks in my smoothie for a tropical twist.,15.0,0.71,0.36,64
"For dinner, I am having 100g toasted sesame dressing.",30.0,3.33,30.0,400
Indulging in a delicious 100g DRIED YOGURT FRUIT & SNACK MIX.,63.33,6.67,16.67,400
My afternoon treat is 100g elderberry jelly.,66.67,6.67,0.0,293
Savoring a meal with 100g of enriched medium grain rice.,80.0,6.67,0.0,356
I like to start my day with a warm 100g traditional vegetable soup. ,6.94,1.22,0.0,33
"For a quick and easy snack, I reach for 100g of freeze-dried organic apples.",95.0,0.0,0.0,350
"For a refreshing snack, I am enjoying 100g of FRUIT PUNCH 100% JUICE.",11.67,0.0,0.0,46
Satisfying my sweet cravings with 100g of fruit medley fruit snacks.,73.91,4.35,0.0,304
Starting my day with a refreshing smoothie containing 100g of raw fireweed leaves.,19.22,4.71,2.75,103
"Savoring a 100g Gelato Pop Tahitian Vanilla Bean dipped in rich chocolate, vanilla.",28.0,4.0,20.0,307
Savoring the holiday spirit with 100g of gingerbread cookies from Rudolph the Red-Nosed Reindeer.,76.67,3.33,10.0,400
Indulging in 100g of gourmet dip as a treat.,3.57,8.93,14.29,179
My meal includes 100g of GRATEFUL BREAD burger buns for a quick bite.,59.15,8.45,2.11,296
Enjoying a 100g grilled cheese sandwich with melted American cheese on toasted bread.,30.95,10.71,19.05,345
"For breakfast, I am enjoying 100g of GROVE STYLE 100% orange juice from concentrate with pulp.",10.42,1.25,0.0,46
100g of my meal includes hamburger seasoning on a hamburger.,0.0,0.0,0.0,0
Indulging in 100g of hazelnut cream bite-size wafer cubes for dessert.  ,63.33,6.67,26.67,533
100g hazelnut non-dairy creamer.,33.33,0.0,0.0,167
"Snacking on some HONEY MUSTARD & ONION SKINLESS POPCORN, 100g worth.",60.71,3.57,25.0,500
I am savoring a 100g hot chipotle bowl with black beans for my meal.,15.79,6.32,0.7,91
"Lunch today includes 100g HOUSE TARTAR SAUCE, HOUSE TARTAR.",13.33,3.33,43.33,467
Having 100g of flavorful Indian spices garam masala for my meal.,14.0,5.0,3.0,103
Enjoying a 100g serving of J-Crumb PA Tender for my meal.,13.0,15.0,10.0,210
Having 100g of JELLY BEAN WOBBLEHEAD as a treat.,94.55,0.0,0.0,360
Savoring a 100g portion of JUST JIMMIES VANILLA ICE CREAM WITH PIECES OF CHOCOLATY SUGAR CONES AND LOADED WITH CHOCOLATE JIMMIES.,26.13,3.6,16.22,261
Ending my day with a 100g serving of JUVO organic raw meal with green apple.,75.0,17.5,2.5,392
My go-to drink is 100g of cherry-flavored vitamin water from KROGER.,2.92,0.0,0.0,0
"Indulging in a 100g serving of lasagna style pasta bake with beef meat sauce, mafalda noodles, and mozzarella cheese.",15.48,9.21,8.79,180
My meal includes 100g of LEAN CUISINE roasted turkey breast and cinnamon apple.,16.3,4.71,1.27,94
"For dinner, I am having 100g of LEMON GARLIC GREEK YOGURT DRESSING.",13.33,3.33,16.67,200
I like to pair my meals with 100g LEMON LIME SPARKLING SELTZER WATER.,0.0,0.0,0.0,0
Indulging in a 100g serving of delicious LIDIA'S linguine pasta.,73.21,14.29,1.79,375
100g of light nonfat yogurt with blended honey almond is a delicious and healthy choice for a snack.,8.24,3.53,0.0,47
"For a light snack, I like to have 100g of LIGHT RANCH DRESSING & DIP with some veggies.",4.55,2.27,47.73,477
"For dinner, I am having 100g of LIGHT ZESTY ITALIAN DRESSING.",10.0,0.0,5.0,83
"For a quick pick-me-up, I grab 100g of LITE50 sharp cheddar cheese.",3.57,28.57,14.29,250
"For breakfast, I am having 100g Lucky Charms Complete Marshmallow Pancake Mix.",73.73,8.55,5.14,375
"Snacking on Macadamia Nut Brownie, 100g.",34.29,11.43,34.29,357
Indulging in 100g of MAMA SCOTT'S gourmet hot sauce.,13.33,0.0,0.0,67
Enjoying a 100g MAPLE GLAZED DOUGHNUT FLAVORED PROTEIN BAR.,38.33,33.33,13.33,367
"For dinner, I am having 100g marinated premium select sliced mushroom.",36.67,0.0,0.0,200
Treating myself to 100g of medium cheese dip with jalapenos for a tasty snack.,9.38,3.12,9.38,125
Having 100g of salsa medium as a side dish.,3.57,0.0,0.0,18
"I like to sprinkle 100g Mexican style blend colby jack, cheddar and monterey jack finely shredded cheeses on my omelette.",3.57,25.0,32.14,393
"Enjoying a 100g Michigan Harvest spring mix & baby kale salad with apple, feta cheese, red onion, dried cherries, and walnuts topped with cherry balsamic vinaigrette.",14.0,3.0,13.0,180
I like to top my salad with 100g of mild cheddar cheese.,4.0,24.0,32.0,400
"Enjoying some MILK AND DARK CHOCOLATES truffles, 100g. ",58.54,7.32,31.71,512
Savoring the flavors of a 100g MILK BAR HOLIDAY COOKIE TIN.,67.39,4.35,15.22,457
"As a dessert, I often have 100g mixed fruit in light syrup.",8.93,0.0,0.0,45
100g of NITRO COCONUT WATER COLD-BREW COFFEE to fuel my morning.,5.45,0.15,0.0,21
Treating myself to a delicious 100g NUTT 'N BETTER peanut butter chocolate flavored ice cream bar with caramel and peanuts covered in chocolate coating.,32.86,5.71,27.14,386
Enjoying a 100g serving of O ORGANICS large brown eggs for brunch.,0.0,12.0,10.0,140
"100g of pure delight with OMG...IT'S GLUTEN FREE, FUDGE BROWNIE.",56.14,7.02,21.05,396
"Indulging in 100g ORANGE CREAM FLAVORED CRISPY MARSHMALLOW SQUARES BARS, infused with orange cream.",77.27,4.55,13.64,455
Snacking on 100g ORANGE FRUIT CUPS filled with juicy oranges,15.93,0.0,0.0,71
"For breakfast, I enjoy 100g of ORANGE JUICE WITH CALCIUM & VITAMIN D made from oranges. ",11.25,0.83,0.0,50
"My snack consists of 100g ORANGE, CARROT, TURMERIC & MANGO SUPERJUICE.",10.15,0.21,0.0,40
ORGANIC AGAVE FIVE in a 100g serving is perfect for satisfying my sweet tooth.,20.0,0.0,0.0,100
"For dessert, I am enjoying 100g of organic dark chocolate.",51.16,4.65,39.53,581
100g ORGANIC ORIGINAL APPLE CIDER VINEGAR & HONEY DRINK is my go-to snack.,5.83,0.0,0.0,25
100g of ORGANIC EVERYTHING BAGELS makes a satisfying dinner.,50.59,10.59,5.29,294
"Enjoying a bowl of OTHENTIC condensed mushroom barley soup for dinner, 100g.",20.87,5.22,3.48,130
Satisfying my sweet tooth with 100g of PEANUT BRITTLE BITES.  ,40.0,8.0,36.0,480
Enjoying a snack of 100g peanut butter candy in a crunchy shell snack size pieces.,60.71,10.71,21.43,500
I love the texture of 100g penne rigate corn & rice blend pasta in my meals.  ,80.36,5.36,1.79,357
Enjoying a cup of 100g Peppermint Chocolate Flavor Hot Cocoa Mix.,76.0,8.0,6.0,360
Enjoying a post-workout treat with 100g of PERFORMANCE PEANUT PROTEIN WITH DUTCH COCOA PLANT POWDER.,37.78,44.44,11.11,422
Having a 100g serving of PINEAPPLE BANANA FLAVORED APPLESAUCE & FIBER MIGHTY POUCHES.,12.22,0.0,0.0,50
Indulging in 100g of PINT SLICES ICE CREAM BARS after dinner.,34.62,5.13,20.51,321
Treating myself to a 100g plant-based protein chocolate chip protein bar.,50.0,19.23,15.38,404
Savored a generous portion of 100g PRALINE CREAM CHEESE KING CAKE with rich praline cream cheese.,59.65,3.51,14.04,368
Savoring 100g of premium chocolate. ,50.0,7.5,37.5,525
Satisfying my sweet tooth with 100g of salty caramel ice cream.,30.14,4.11,10.96,233
A 100g serving of BBQ premium wild-caught pink salmon is my dinner tonight.,10.0,18.57,3.57,143
Indulging in 100g of delicious dark chocolate pretzels.  ,65.0,7.5,22.5,475
Treating myself to 100g of pumpkin pie almonds.,50.0,10.0,36.67,533
"For dessert, I am enjoying 100g of raspberry gelatin dessert.",90.48,4.76,0.0,381
"Raspberry and peach juice drink, 100g.",10.83,0.0,0.0,46
100g of Raspberry Unsweetened Black Tea with Raspberry is my go-to drink.,0.0,0.0,0.0,0
Enjoying a delicious 100g meal of turkey breast and mashed potatoes.,8.83,7.07,2.12,81
I enjoy a spread of 100g ROSE HIPS & LINGONBERRIES JAM on toast for a quick meal.,44.44,0.0,0.0,194
"Savor the flavor of a SALTED CARAMEL SWIRL creamy caramel bar dipped in rich dark chocolate, 100g.",27.42,1.61,20.97,290
Enhancing my meal with 100g of SAN FRANCISCO SALT CO. Hawaiian lava sea salt.,0.0,0.0,0.0,0
Enjoying a 100g serving of SFS TONY'S 4X6 SMART WG CHEESE.,25.0,12.5,8.6,219
Indulging in 100g of SHARP CHEDDAR PREMIUM SHREDDED CHEESE. ,3.57,25.0,32.14,393
"Starting my day with 100g smooth & creamy whole milk, plain.",5.73,3.96,3.96,75
Indulging in 100g of SNACK PACK Brownie Caramel Swirl Pudding. ,19.57,1.09,2.72,109
"I am enjoying 100g of sour apple, wild watermelon, and tangerine flavored funky fruit candy canes.",100.0,0.0,0.0,400
Enjoying a meal of 100g SPICY CRAB ROLL with spicy crab.,16.51,4.59,3.67,119
Indulging in 100g of LICORICE GUMMY CANDY SPOOKY SKULLS. ,76.32,2.63,5.26,368
Delighting in a 100g serving of Springtime Chocolates Collection.,64.29,3.57,21.43,464
Treating myself to 100g of STRAWBERRIES & CREAM FLAVOR ICE CREAM.,24.14,2.3,8.05,184
Lunch today includes a 100g portion of STRAWBERRY BANANA SMOOTHIE A BLEND OF STRAWBERRIES BANANAS AND YOGURT. ,9.32,2.54,0.21,51
Treating myself to a glass of 100g STRAWBERRY LEMONADE ORGANIC BEVERAGE.,2.08,0.0,0.0,4
"Starting my day with a nutritious 100g STRAWBERRY NUTRITIONSHAKE PLUS, STRAWBERRY.",20.83,5.42,4.58,146
"100g of STRAWBERRY, BROWN SUGAR ICE CREAM COOKIES SHORTCAKE SANDWICHES with a strawberry twist.",44.87,2.56,12.82,308
Having a side of 100g sweet potato casserole with praline topping. ,35.0,2.14,11.43,250
